card_type,card_company,card_name,card_benefit_type,card_img,card_top_category,card_category,card_required,card_domestic,card_abroad,communication,shopping,culture,transportation,food,education,utilities,aviation,medical,others
신용,우리카드,아이파킹 크레딧 카,할인형,https://api.card-gorilla.com:8080/storage/card/595/card_img/21362/595card.png,"자동차/하이패스, 주유, ","자동차/하이패스, 주유",300000,15000,18000,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427
신용,NH농협카드,엘포인트카드(비씨),포인트형,https://api.card-gorilla.com:8080/storage/card/1944/card_img/22054/1944card.png,"쇼핑, 생활, 마트/편의점","레저/스포츠, 마트/편의점, 쇼핑, 영화/문화, 주유, 카페/디저트, 푸드",500000,0,15000,0.0,0.4,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.3
신용,삼성카드,엠베스트 엘리하이 삼성카드,할인형,https://api.card-gorilla.com:8080/storage/card/2571/card_img/29953/2571card.png,"교육/육아, 생활, ","교육/육아, 기타, 통신",300000,0,0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285
신용,신한카드,위버스 신한카드(SEVENTEEN),포인트형,https://api.card-gorilla.com:8080/storage/card/2249/card_img/20999/2249card.png,"적립, 할인, 기타","교통, 기타, 마트/편의점, 뷰티/피트니스, 쇼핑, 카페/디저트",300000,35000,35000,0.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.42857142857142855
신용,우리카드,위비 알뜰주유소 할인카드,할인형,https://api.card-gorilla.com:8080/storage/card/916/card_img/21628/916card.png,"주유, 영화, 카페/디저트","영화/문화, 주유, 카페/디저트, 푸드",300000,0,0,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.2857142857142857
신용,KB국민카드,커피빈 신용카드,할인형,https://api.card-gorilla.com:8080/storage/card/735/card_img/22209/735card.png,"카페, 카페, 생활","교육/육아, 기타, 레저/스포츠, 마트/편의점, 병원/약국, 뷰티/피트니스, 주유, 카페/디저트, 푸드",500000,20000,20000,0.0,0.09090909090909091,0.0,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.09090909090909091,0.36363636363636365
신용,하나카드,통커 카드,할인형,https://api.card-gorilla.com:8080/storage/card/246/card_img/20473/246card.png,"카페/디저트, 통신, 쇼핑","쇼핑, 카페/디저트, 통신",500000,0,17000,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
신용,하나카드,하나멤버스 1Q(원큐) 카드 Shopping,포인트형,https://api.card-gorilla.com:8080/storage/card/232/card_img/20459/232card.png,"마트/편의점, 쇼핑, 공과금/렌탈","공과금/렌탈, 교통, 마트/편의점, 쇼핑, 카페/디저트, 통신, 해외",300000,8000,10000,0.09090909090909091,0.45454545454545453,0.0,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091
신용,KB국민카드,하나투어 KB국민카드,포인트형,https://api.card-gorilla.com:8080/storage/card/1549/card_img/22685/1549card.png,"여행사, 금융, 영화","기타, 여행/숙박, 영화/문화, 카페/디저트, 푸드, 해외",0,10000,10000,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.4
신용,현대카드,현대카드ZERO MOBILE(할인형),할인형,https://api.card-gorilla.com:8080/storage/card/419/card_img/20917/419card.png,"할인, 할인, 할인","모든가맹점, 무실적, 쇼핑, 푸드, 해외",0,5000,5000,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.5555555555555556
